product_name,brand_name,style_id,tags,product_tag,suitable_for,rating,rating_count,sizes,marked_price,discounted_price,discount_amount,discount_percent,seller_city,seller_state
Slim Fit Casual Shirt,Greenfibre,18427366,clothing,shirts,men,0.0,0,"38,39,40,42,44",1699,1699,0,0,Ahmedabad,Gujarat
Men Printed T-shirt,FREESOUL,18069688,clothing,tshirts,men,0.0,0,"S,M,L,XL,XXL",799,799,0,0,Bangalore,Karnataka
Leather Two Fold Wallet,Da Milano,18013592,accessories,wallets,women,0.0,0,Onesize,4499,4499,0,0,South West Delhi,Delhi
Pure Georgette Bandhani Saree,Mitera,17141476,clothing,sarees,women,3.6,5,Onesize,6727,1681,5046,75,Surat,Gujarat
Men Geometric Printed Kurta,Indo Era,17502668,clothing,kurtas,men,0.0,0,"S,M,L,XL,XXL",2599,1429,1170,45,Surat,Gujarat
Men Accessory Gift Set,WildHorn,1410357,accessories,accessory gift set,men,4.5,80,Onesize,2999,1049,1950,65,South 24 Parganas,West Bengal
Self-Design Thermal Set,Kanvin,2223155,clothing,thermal set,women,4.6,42,"S,M,L,XL,XXL",1598,1278,320,20,Ludhiana,Punjab
Men Slim Fit T-shirt,Jack & Jones,15430520,clothing,tshirts,men,3.7,7,"S,M,L,XL,XXL",1299,649,650,50,Mumbai,Maharashtra
Block Print Pure Georgette Saree,MS RETAIL,18467984,clothing,sarees,women,0.0,0,Onesize,1015,497,518,51,Surat,Gujarat
Outdoor Rapid-Dry Jacket,HRX by Hrithik Roshan,11953112,clothing,jackets,women,4.4,186,"XS,S,M,L,XL",2799,1679,1120,40,Central Delhi,Delhi
Floral Maxi Dress,Nayo,17634118,clothing,dresses,women,4.0,7,"S,M,L,XL,XXL",1999,799,1200,60,Jaipur,Rajasthan
Women Ribbed Fitted Top,DressBerry,11003624,clothing,tops,women,4.2,252,"XS,S,M,L,XL",999,399,600,60,West Delhi,Delhi
Men Gold-Toned Brooch,Alvaro Castagnino,17426638,accessories,brooch,men,4.9,10,Onesize,999,399,600,60,Sonipat,Haryana
Printed Lounge T-shirt,ETC,12442110,clothing,lounge tshirts,women,4.3,52,"S,M,L,XL",499,324,175,35,Thane,Maharashtra
Men Solid Sliders,Power,12453854,footwear,flip flops,men,3.9,34,"UK6,UK7,UK8,UK9,UK10,UK11",746,671,75,10,Not Mentioned,Not Mentioned
Women Skinny Fit Jeans,abof,14511032,clothing,jeans,women,0.0,0,"28,30,32,34",1299,909,390,30,South Delhi,Delhi
Women Skinny Fit Jeans,Mast & Harbour,12310178,clothing,jeans,women,4.0,105,"26,28,30,32,34,36",1799,809,990,55,Not Mentioned,Not Mentioned
Print Ruffles Top,BoStreet,18139080,clothing,tops,women,0.0,0,"S,M,L,XL",1699,1546,153,9,Thane,Maharashtra
Men Running Shoes,Action,15305954,footwear,sports shoes,men,0.0,0,"UK6,UK7,UK8,UK9,UK10",2099,1112,987,47,West Delhi,Delhi
Ethnic Motifs Pure Silk Saree,Anouk,15096572,clothing,sarees,women,0.0,0,Onesize,6699,1674,5025,75,Surat,Gujarat
Unisex Round Sunglasses,WROGN,2385219,accessories,sunglasses,unisex,4.1,338,M,2899,1884,1015,35,Central Delhi,Delhi
Women Tummy & Thigh Shapewear,Dermawear,17667772,clothing,shapewear,women,2.0,5,"S,M,L,XL,XXL,3XL",1349,1349,0,0,Thane,Maharashtra
Women Night suit,Sweet Dreams,17802896,clothing,night suits,women,0.0,0,"S,M,L,XL,XXL",1799,1169,630,35,Ahmedabad,Gujarat
Women Cotton Printed Tracksuit,Duke,15152634,clothing,tracksuits,women,4.4,14,"S,M,L,XL,XXL",2995,1797,1198,40,Gurgaon,Haryana
Women Pack of 2 Hipster Briefs,Clovia,10484738,clothing,briefs,women,0.0,0,"S,M,L,XL",998,409,589,59,Gurgaon,Haryana
Casual Shirt,SPYKAR,16457530,clothing,shirts,men,0.0,0,"38,40,42,44,46",2499,1724,775,31,Mumbai,Maharashtra
Women Printed Lounge Pants,Ginger by Lifestyle,18491338,clothing,lounge pants,women,0.0,0,"XS,S,M,L,XL",699,699,0,0,Bangalore,Karnataka
Set Of 9 Wall Photo Frames,Art Street,16651396,home furnishing,photo frames,unisex,0.0,0,Onesize,3500,1050,2450,70,Gautam Buddha Nagar,Uttar Pradesh
Other Prints Blue Blocks Handwoven Cotton Double Size Bedcover with 2 Pillow Cover,Arrabi,15219226,home furnishing,bed covers,unisex,0.0,0,Double King,5149,1647,3502,68,Not Mentioned,Not Mentioned
Pack of 2 Minimizer Bras,Floret,11169978,clothing,bra,women,4.3,239,"30C,32C,34C,36C,38C,40C",898,853,45,5,North West Delhi,Delhi
Printed Pure Cotton T-shirt,Red Tape,16916292,clothing,tshirts,men,3.6,11,"S,M,L,XL,XXL",1599,559,1040,65,Kanpur Nagar,Uttar Pradesh
Lightly Padded T-shirt Bra,Zivame,17089344,clothing,bra,women,0.0,0,"32B,32C,32D,34B,34C,34D,36B,36C,36D,38B,38C,38D",1395,558,837,60,Bangalore,Karnataka
Women Typography T-shirt,max,15557832,clothing,tshirts,women,4.3,3,"XS,S,M,L,XL",399,399,0,0,Bangalore,Karnataka
Women Printed Slip-On Sneakers,ELLE,18175074,footwear,casual shoes,women,0.0,0,"UK3,UK4,UK5,UK6,UK7,UK8",2299,1149,1150,50,South West Delhi,Delhi
